,index,url,supermarket,referencia
1016,2185,https://tienda.mercadona.es/product/59227/pechuga-pavo-bajo-sal-hacendado-pieza,mercadona-es,100162
979,4049,https://tienda.mercadona.es/product/59247/pechuga-pavo-bajo-sal-hacendado-finas-lonchas-paquete,mercadona-es,100163
1024,4049,https://tienda.mercadona.es/product/59247/pechuga-pavo-bajo-sal-hacendado-finas-lonchas-paquete,mercadona-es,100164
989,4063,https://tienda.mercadona.es/product/4577/fiambre-pechuga-pavo-sajonia-serrano-ahumado-natural-paquete,mercadona-es,100165
1025,4063,https://tienda.mercadona.es/product/4577/fiambre-pechuga-pavo-sajonia-serrano-ahumado-natural-paquete,mercadona-es,100166
936,60,https://tienda.mercadona.es/product/52094/bocaditos-salsa-gato-adulto-delikuit-con-pollo-pavo-verduras-bote,mercadona-es,100167
1050,60,https://tienda.mercadona.es/product/52094/bocaditos-salsa-gato-adulto-delikuit-con-pollo-pavo-verduras-bote,mercadona-es,100168
941,546,https://tienda.mercadona.es/product/52068/trozos-salsa-perro-adulto-delikuit-con-ternera-pavo-verduras-tarrina,mercadona-es,100169
1055,546,https://tienda.mercadona.es/product/52068/trozos-salsa-perro-adulto-delikuit-con-ternera-pavo-verduras-tarrina,mercadona-es,100170
414,2850,https://www.dia.es/compra-online/despensa/conservas/conservas-de-pescado/p/175329,dia-es,100171
445,2850,https://www.dia.es/compra-online/despensa/conservas/conservas-de-pescado/p/175329,dia-es,100172
434,4539,https://www.dia.es/compra-online/despensa/conservas/conservas-de-pescado/p/282685,dia-es,100173
446,4539,https://www.dia.es/compra-online/despensa/conservas/conservas-de-pescado/p/282685,dia-es,100174
414,2850,https://www.dia.es/compra-online/despensa/conservas/conservas-de-pescado/p/175329,dia-es,100175
445,2850,https://www.dia.es/compra-online/despensa/conservas/conservas-de-pescado/p/175329,dia-es,100176
434,4539,https://www.dia.es/compra-online/despensa/conservas/conservas-de-pescado/p/282685,dia-es,100177
446,4539,https://www.dia.es/compra-online/despensa/conservas/conservas-de-pescado/p/282685,dia-es,100178
447,4564,https://www.dia.es/compra-online/despensa/conservas/conservas-de-pescado/p/147678,dia-es,100179
4,382,https://www.carrefour.es/supermercado/magro-de-cerdo-iberico-cocido-lourino-200-g/R-521016166/p,carrefour-es,100180
